千手纲手	加藤断	女友
加藤断	千手纲手	男友
千手纲手	漩涡水户	孙女
漩涡水户	千手纲手	祖母
千手纲手	千手柱间	孙女
千手柱间	千手纲手	祖父
千手纲手	绳树	姐姐
绳树	千手纲手	弟弟
旗木卡卡西	野原琳	队友
宇智波带土	野原琳	队友
波风水门	野原琳	师傅
宇智波带土	旗木卡卡西	好友
野原琳	旗木卡卡西	好友
波风水门	旗木卡卡西	恩师
旗木卡卡西	宇智波带土	好友
波风水门	宇智波带土	师傅
野原琳	宇智波带土	队友
旋涡鸣人	波风水门	儿子
波风水门	漩涡玖辛奈	丈夫
漩涡玖辛奈	波风水门	妻子
波风水门	自来也	弟子
自来也	波风水门	师傅
旗木卡卡西	迈特凯	对手
迈特凯	旗木卡卡西	对手
大蛇丸	千手纲手	同门
自来也	千手纲手	并称三忍
千手纲手	大蛇丸	同门
自来也	大蛇丸	同门
大蛇丸	自来也	同门
千手纲手	自来也	并称三忍
大蛇丸	宇智波鼬	对手
宇智波鼬	大蛇丸	对手
自来也	旋涡鸣人	师傅
旋涡鸣人	自来也	指导老师
大蛇丸	宇智波佐助	师傅
宇智波佐助	大蛇丸	想要的容器
旋涡鸣人	漩涡玖辛奈	儿子
漩涡玖辛奈	旋涡鸣人	母亲
千手纲手	春野樱	师傅
旋涡鸣人	春野樱	队友
春野樱	旋涡鸣人	队友
旋涡鸣人	日向雏田	丈夫
日向雏田	旋涡鸣人	妻子
旋涡鸣人	宇智波佐助	好友
宇智波佐助	旋涡鸣人	对手
春野樱	宇智波鼬	弟媳
宇智波美琴	宇智波鼬	母亲
宇智波佐助	宇智波鼬	弟弟
宇智波富岳	宇智波鼬	父亲
宇智波止水	宇智波鼬	好友
宇智波佐助	春野樱	丈夫
宇智波鼬	春野樱	大伯子
宇智波鼬	宇智波美琴	儿子
宇智波佐助	宇智波美琴	儿子
春野樱	宇智波佐助	妻子
宇智波鼬	宇智波佐助	哥哥
宇智波美琴	宇智波佐助	母亲
宇智波富岳	宇智波佐助	父亲
宇智波鼬	宇智波富岳	儿子
宇智波佐助	宇智波富岳	儿子
宇智波鼬	宇智波止水	好友
旗木卡卡西	春野樱	师傅
旗木卡卡西	宇智波佐助	恩师
宇智波佐助	鬼灯水月	好友
鬼灯水月	宇智波佐助	好友
宇智波佐助	漩涡香磷	好友
漩涡香磷	宇智波佐助	好友
宇智波佐助	重吾	好友
重吾	宇智波佐助	好友
日向雏田	日向日足	女儿
日向日足	日向雏田	父亲
日向雏田	漩涡玖辛奈	儿媳
漩涡玖辛奈	日向雏田	婆婆
日向雏田	日向日差	侄女
日向日差	日向雏田	叔叔
日向雏田	日向宁次	堂妹
日向宁次	日向雏田	堂兄
日向宁次	旋涡鸣人	好友
旋涡鸣人	日向宁次	好友
